library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,37.138500
flutter_dspc,FFTStatic.rfftMag,32,200,4000,8.201750
flutter_dspc,RfftPlan.execute,32,200,4000,9.605750
flutter_dspc,RfftPlan.executeSpec,32,200,4000,5.763750
flutter_dspc,FFTStatic.fft,32,200,4000,12.154750
flutter_dspc,CfftPlan.fft,32,200,4000,6.151250
fftea,fftea.realFft,32,200,4000,29.781500
flutter_dspc,FFTStatic.rfft,33,200,4000,4.454000
flutter_dspc,FFTStatic.rfftMag,33,200,4000,3.159000
flutter_dspc,RfftPlan.execute,33,200,4000,1.092250
flutter_dspc,RfftPlan.executeSpec,33,200,4000,1.776250
flutter_dspc,FFTStatic.fft,33,200,4000,6.641250
flutter_dspc,CfftPlan.fft,33,200,4000,2.546250
fftea,fftea.realFft,33,200,4000,13.986000
flutter_dspc,FFTStatic.rfft,34,200,4000,3.754500
flutter_dspc,FFTStatic.rfftMag,34,200,4000,3.715750
flutter_dspc,RfftPlan.execute,34,200,4000,2.688000
flutter_dspc,RfftPlan.executeSpec,34,200,4000,2.034750
flutter_dspc,FFTStatic.fft,34,200,4000,5.008500
flutter_dspc,CfftPlan.fft,34,200,4000,2.689250
fftea,fftea.realFft,34,200,4000,31.326000
flutter_dspc,FFTStatic.rfft,35,200,4000,3.958000
flutter_dspc,FFTStatic.rfftMag,35,200,4000,3.147250
flutter_dspc,RfftPlan.execute,35,200,4000,1.149500
flutter_dspc,RfftPlan.executeSpec,35,200,4000,1.756000
flutter_dspc,FFTStatic.fft,35,200,4000,3.415000
flutter_dspc,CfftPlan.fft,35,200,4000,1.277000
fftea,fftea.realFft,35,200,4000,7.352000
flutter_dspc,FFTStatic.rfft,36,200,4000,3.633500
flutter_dspc,FFTStatic.rfftMag,36,200,4000,2.606250
flutter_dspc,RfftPlan.execute,36,200,4000,1.000250
flutter_dspc,RfftPlan.executeSpec,36,200,4000,1.055000
flutter_dspc,FFTStatic.fft,36,200,4000,3.273000
flutter_dspc,CfftPlan.fft,36,200,4000,1.251750
fftea,fftea.realFft,36,200,4000,2.593000
flutter_dspc,FFTStatic.rfft,37,200,4000,5.276500
flutter_dspc,FFTStatic.rfftMag,37,200,4000,5.326250
flutter_dspc,RfftPlan.execute,37,200,4000,2.108500
flutter_dspc,RfftPlan.executeSpec,37,200,4000,2.247750
flutter_dspc,FFTStatic.fft,37,200,4000,5.379000
flutter_dspc,CfftPlan.fft,37,200,4000,3.331250
fftea,fftea.realFft,37,200,4000,15.719250
flutter_dspc,FFTStatic.rfft,38,200,4000,3.437250
flutter_dspc,FFTStatic.rfftMag,38,200,4000,3.276000
flutter_dspc,RfftPlan.execute,38,200,4000,1.428250
flutter_dspc,RfftPlan.executeSpec,38,200,4000,1.530250
flutter_dspc,FFTStatic.fft,38,200,4000,4.267500
flutter_dspc,CfftPlan.fft,38,200,4000,2.042000
fftea,fftea.realFft,38,200,4000,11.064750
flutter_dspc,FFTStatic.rfft,39,200,4000,5.095500
flutter_dspc,FFTStatic.rfftMag,39,200,4000,3.021250
flutter_dspc,RfftPlan.execute,39,200,4000,1.213250
flutter_dspc,RfftPlan.executeSpec,39,200,4000,1.576250
