library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,40.337500
flutter_dspc,FFTStatic.rfftMag,32,200,4000,9.522000
flutter_dspc,RfftPlan.execute,32,200,4000,9.992250
flutter_dspc,RfftPlan.executeSpec,32,200,4000,25.702750
flutter_dspc,FFTStatic.fft,32,200,4000,22.140000
flutter_dspc,CfftPlan.fft,32,200,4000,3.921750
fftea,fftea.realFft,32,200,4000,38.919000
flutter_dspc,FFTStatic.rfft,36,200,4000,6.686500
flutter_dspc,FFTStatic.rfftMag,36,200,4000,4.327250
flutter_dspc,RfftPlan.execute,36,200,4000,1.983500
flutter_dspc,RfftPlan.executeSpec,36,200,4000,1.518750
flutter_dspc,FFTStatic.fft,36,200,4000,8.480000
flutter_dspc,CfftPlan.fft,36,200,4000,2.294500
fftea,fftea.realFft,36,200,4000,15.022000
flutter_dspc,FFTStatic.rfft,40,200,4000,7.310000
flutter_dspc,FFTStatic.rfftMag,40,200,4000,5.110250
flutter_dspc,RfftPlan.execute,40,200,4000,1.064000
flutter_dspc,RfftPlan.executeSpec,40,200,4000,1.191500
flutter_dspc,FFTStatic.fft,40,200,4000,6.570000
flutter_dspc,CfftPlan.fft,40,200,4000,1.734250
fftea,fftea.realFft,40,200,4000,16.207000
flutter_dspc,FFTStatic.rfft,48,200,4000,20.156500
flutter_dspc,FFTStatic.rfftMag,48,200,4000,10.254250
flutter_dspc,RfftPlan.execute,48,200,4000,5.441750
flutter_dspc,RfftPlan.executeSpec,48,200,4000,4.861000
flutter_dspc,FFTStatic.fft,48,200,4000,11.578000
flutter_dspc,CfftPlan.fft,48,200,4000,4.115000
fftea,fftea.realFft,48,200,4000,19.329000
flutter_dspc,FFTStatic.rfft,50,200,4000,5.836000
flutter_dspc,FFTStatic.rfftMag,50,200,4000,6.160000
flutter_dspc,RfftPlan.execute,50,200,4000,1.093500
flutter_dspc,RfftPlan.executeSpec,50,200,4000,1.269250
flutter_dspc,FFTStatic.fft,50,200,4000,8.458500
flutter_dspc,CfftPlan.fft,50,200,4000,1.849250
fftea,fftea.realFft,50,200,4000,5.032750
flutter_dspc,FFTStatic.rfft,54,200,4000,6.764250
flutter_dspc,FFTStatic.rfftMag,54,200,4000,5.828250
flutter_dspc,RfftPlan.execute,54,200,4000,1.146250
flutter_dspc,RfftPlan.executeSpec,54,200,4000,1.313250
flutter_dspc,FFTStatic.fft,54,200,4000,8.402000
flutter_dspc,CfftPlan.fft,54,200,4000,2.151500
fftea,fftea.realFft,54,200,4000,4.162000
flutter_dspc,FFTStatic.rfft,60,200,4000,6.623000
flutter_dspc,FFTStatic.rfftMag,60,200,4000,6.281750
flutter_dspc,RfftPlan.execute,60,200,4000,1.810000
flutter_dspc,RfftPlan.executeSpec,60,200,4000,1.142000
flutter_dspc,FFTStatic.fft,60,200,4000,8.485000
flutter_dspc,CfftPlan.fft,60,200,4000,2.096500
fftea,fftea.realFft,60,200,4000,3.863500
flutter_dspc,FFTStatic.rfft,64,200,4000,6.895250
flutter_dspc,FFTStatic.rfftMag,64,200,4000,6.707250
flutter_dspc,RfftPlan.execute,64,200,4000,1.311250
flutter_dspc,RfftPlan.executeSpec,64,200,4000,1.303500
flutter_dspc,FFTStatic.fft,64,200,4000,10.316250
flutter_dspc,CfftPlan.fft,64,200,4000,2.228000
fftea,fftea.realFft,64,200,4000,3.941750
flutter_dspc,FFTStatic.rfft,72,200,4000,10.271750
flutter_dspc,FFTStatic.rfftMag,72,200,4000,8.590250
flutter_dspc,RfftPlan.execute,72,200,4000,1.378250
flutter_dspc,RfftPlan.executeSpec,72,200,4000,1.443500
flutter_dspc,FFTStatic.fft,72,200,4000,11.143500
flutter_dspc,CfftPlan.fft,72,200,4000,2.699500
fftea,fftea.realFft,72,200,4000,4.744500
flutter_dspc,FFTStatic.rfft,80,200,4000,7.434500
flutter_dspc,FFTStatic.rfftMag,80,200,4000,7.329500
flutter_dspc,RfftPlan.execute,80,200,4000,1.375750
flutter_dspc,RfftPlan.executeSpec,80,200,4000,1.394500
flutter_dspc,FFTStatic.fft,80,200,4000,15.993250
flutter_dspc,CfftPlan.fft,80,200,4000,2.496250
fftea,fftea.realFft,80,200,4000,4.030250
flutter_dspc,FFTStatic.rfft,90,200,4000,9.006000
flutter_dspc,FFTStatic.rfftMag,90,200,4000,8.570750
flutter_dspc,RfftPlan.execute,90,200,4000,1.611250
flutter_dspc,RfftPlan.executeSpec,90,200,4000,1.660000
flutter_dspc,FFTStatic.fft,90,200,4000,12.920500
flutter_dspc,CfftPlan.fft,90,200,4000,2.976000
fftea,fftea.realFft,90,200,4000,6.327750
flutter_dspc,FFTStatic.rfft,96,200,4000,11.434250
flutter_dspc,FFTStatic.rfftMag,96,200,4000,8.633500
flutter_dspc,RfftPlan.execute,96,200,4000,1.675250
flutter_dspc,RfftPlan.executeSpec,96,200,4000,1.732500
flutter_dspc,FFTStatic.fft,96,200,4000,13.117500
flutter_dspc,CfftPlan.fft,96,200,4000,3.558500
fftea,fftea.realFft,96,200,4000,12.813250
flutter_dspc,FFTStatic.rfft,100,200,4000,16.430000
flutter_dspc,FFTStatic.rfftMag,100,200,4000,9.844250
flutter_dspc,RfftPlan.execute,100,200,4000,1.673250
flutter_dspc,RfftPlan.executeSpec,100,200,4000,1.922750
flutter_dspc,FFTStatic.fft,100,200,4000,13.775000
flutter_dspc,CfftPlan.fft,100,200,4000,3.102750
fftea,fftea.realFft,100,200,4000,6.820750
flutter_dspc,FFTStatic.rfft,108,200,4000,10.272000
flutter_dspc,FFTStatic.rfftMag,108,200,4000,10.622750
flutter_dspc,RfftPlan.execute,108,200,4000,2.042750
flutter_dspc,RfftPlan.executeSpec,108,200,4000,2.158000
flutter_dspc,FFTStatic.fft,108,200,4000,13.554500
flutter_dspc,CfftPlan.fft,108,200,4000,4.050250
fftea,fftea.realFft,108,200,4000,12.566250
flutter_dspc,FFTStatic.rfft,120,200,4000,10.630250
flutter_dspc,FFTStatic.rfftMag,120,200,4000,12.088250
flutter_dspc,RfftPlan.execute,120,200,4000,2.372250
flutter_dspc,RfftPlan.executeSpec,120,200,4000,2.066500
flutter_dspc,FFTStatic.fft,120,200,4000,15.644750
flutter_dspc,CfftPlan.fft,120,200,4000,4.040750
fftea,fftea.realFft,120,200,4000,10.408250
flutter_dspc,FFTStatic.rfft,128,200,4000,11.710500
flutter_dspc,FFTStatic.rfftMag,128,200,4000,10.433750
flutter_dspc,RfftPlan.execute,128,200,4000,1.965250
flutter_dspc,RfftPlan.executeSpec,128,200,4000,2.018250
flutter_dspc,FFTStatic.fft,128,200,4000,16.014000
flutter_dspc,CfftPlan.fft,128,200,4000,4.338000
fftea,fftea.realFft,128,200,4000,8.025250
flutter_dspc,FFTStatic.rfft,144,200,4000,13.119750
flutter_dspc,FFTStatic.rfftMag,144,200,4000,13.996500
flutter_dspc,RfftPlan.execute,144,200,4000,2.968750
flutter_dspc,RfftPlan.executeSpec,144,200,4000,2.950500
flutter_dspc,FFTStatic.fft,144,200,4000,19.617250
flutter_dspc,CfftPlan.fft,144,200,4000,5.402000
fftea,fftea.realFft,144,200,4000,13.763500
flutter_dspc,FFTStatic.rfft,150,200,4000,12.552500
flutter_dspc,FFTStatic.rfftMag,150,200,4000,12.682500
flutter_dspc,RfftPlan.execute,150,200,4000,2.363250
flutter_dspc,RfftPlan.executeSpec,150,200,4000,5.559000
flutter_dspc,FFTStatic.fft,150,200,4000,18.653500
flutter_dspc,CfftPlan.fft,150,200,4000,4.713250
fftea,fftea.realFft,150,200,4000,14.365750
flutter_dspc,FFTStatic.rfft,160,200,4000,14.868500
flutter_dspc,FFTStatic.rfftMag,160,200,4000,12.963250
flutter_dspc,RfftPlan.execute,160,200,4000,2.521500
flutter_dspc,RfftPlan.executeSpec,160,200,4000,4.031500
flutter_dspc,FFTStatic.fft,160,200,4000,22.899500
flutter_dspc,CfftPlan.fft,160,200,4000,4.984750
fftea,fftea.realFft,160,200,4000,13.911750
flutter_dspc,FFTStatic.rfft,162,200,4000,13.693250
flutter_dspc,FFTStatic.rfftMag,162,200,4000,17.042500
flutter_dspc,RfftPlan.execute,162,200,4000,3.312500
flutter_dspc,RfftPlan.executeSpec,162,200,4000,6.781750
flutter_dspc,FFTStatic.fft,162,200,4000,31.370750
flutter_dspc,CfftPlan.fft,162,200,4000,6.614750
fftea,fftea.realFft,162,200,4000,17.465000
flutter_dspc,FFTStatic.rfft,180,200,4000,15.294500
flutter_dspc,FFTStatic.rfftMag,180,200,4000,14.094500
flutter_dspc,RfftPlan.execute,180,200,4000,3.153250
flutter_dspc,RfftPlan.executeSpec,180,200,4000,4.827500
flutter_dspc,FFTStatic.fft,180,200,4000,21.276500
flutter_dspc,CfftPlan.fft,180,200,4000,6.107750
fftea,fftea.realFft,180,200,4000,20.082750
flutter_dspc,FFTStatic.rfft,192,200,4000,16.342250
flutter_dspc,FFTStatic.rfftMag,192,200,4000,19.240250
flutter_dspc,RfftPlan.execute,192,200,4000,5.286500
flutter_dspc,RfftPlan.executeSpec,192,200,4000,5.013000
flutter_dspc,FFTStatic.fft,192,200,4000,23.010250
flutter_dspc,CfftPlan.fft,192,200,4000,6.187500
fftea,fftea.realFft,192,200,4000,18.273750
flutter_dspc,FFTStatic.rfft,200,200,4000,16.161000
flutter_dspc,FFTStatic.rfftMag,200,200,4000,14.797750
flutter_dspc,RfftPlan.execute,200,200,4000,3.490000
flutter_dspc,RfftPlan.executeSpec,200,200,4000,3.355250
flutter_dspc,FFTStatic.fft,200,200,4000,25.331250
flutter_dspc,CfftPlan.fft,200,200,4000,6.035500
fftea,fftea.realFft,200,200,4000,17.507750
flutter_dspc,FFTStatic.rfft,216,200,4000,19.761250
flutter_dspc,FFTStatic.rfftMag,216,200,4000,17.120250
flutter_dspc,RfftPlan.execute,216,200,4000,4.399750
flutter_dspc,RfftPlan.executeSpec,216,200,4000,4.620000
flutter_dspc,FFTStatic.fft,216,200,4000,38.597500
flutter_dspc,CfftPlan.fft,216,200,4000,8.050250
fftea,fftea.realFft,216,200,4000,24.591000
flutter_dspc,FFTStatic.rfft,240,200,4000,18.506000
flutter_dspc,FFTStatic.rfftMag,240,200,4000,19.228500
