library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,36.399750
flutter_dspc,FFTStatic.rfftMag,32,200,4000,9.732250
flutter_dspc,RfftPlan.execute,32,200,4000,16.066500
flutter_dspc,RfftPlan.executeSpec,32,200,4000,5.112000
flutter_dspc,FFTStatic.fft,32,200,4000,15.164000
flutter_dspc,CfftPlan.fft,32,200,4000,4.053750
fftea,fftea.realFft,32,200,4000,18.762250
flutter_dspc,FFTStatic.rfft,64,200,4000,14.546000
flutter_dspc,FFTStatic.rfftMag,64,200,4000,7.617750
flutter_dspc,RfftPlan.execute,64,200,4000,13.355000
flutter_dspc,RfftPlan.executeSpec,64,200,4000,4.608750
flutter_dspc,FFTStatic.fft,64,200,4000,7.770000
flutter_dspc,CfftPlan.fft,64,200,4000,5.863000
fftea,fftea.realFft,64,200,4000,9.789000
flutter_dspc,FFTStatic.rfft,96,200,4000,4.150500
flutter_dspc,FFTStatic.rfftMag,96,200,4000,3.563250
flutter_dspc,RfftPlan.execute,96,200,4000,1.167250
flutter_dspc,RfftPlan.executeSpec,96,200,4000,1.899000
flutter_dspc,FFTStatic.fft,96,200,4000,7.223250
flutter_dspc,CfftPlan.fft,96,200,4000,2.243750
fftea,fftea.realFft,96,200,4000,15.613000
flutter_dspc,FFTStatic.rfft,128,200,4000,4.720500
flutter_dspc,FFTStatic.rfftMag,128,200,4000,4.530500
flutter_dspc,RfftPlan.execute,128,200,4000,1.560000
flutter_dspc,RfftPlan.executeSpec,128,200,4000,1.763250
flutter_dspc,FFTStatic.fft,128,200,4000,9.128250
flutter_dspc,CfftPlan.fft,128,200,4000,2.532750
fftea,fftea.realFft,128,200,4000,7.057500
flutter_dspc,FFTStatic.rfft,160,200,4000,4.523500
flutter_dspc,FFTStatic.rfftMag,160,200,4000,5.245250
flutter_dspc,RfftPlan.execute,160,200,4000,2.069250
flutter_dspc,RfftPlan.executeSpec,160,200,4000,2.056250
flutter_dspc,FFTStatic.fft,160,200,4000,10.179250
flutter_dspc,CfftPlan.fft,160,200,4000,3.329750
fftea,fftea.realFft,160,200,4000,35.369750
flutter_dspc,FFTStatic.rfft,192,200,4000,6.445750
flutter_dspc,FFTStatic.rfftMag,192,200,4000,4.904000
flutter_dspc,RfftPlan.execute,192,200,4000,1.743000
flutter_dspc,RfftPlan.executeSpec,192,200,4000,2.184750
flutter_dspc,FFTStatic.fft,192,200,4000,12.360000
flutter_dspc,CfftPlan.fft,192,200,4000,3.742500
fftea,fftea.realFft,192,200,4000,18.751750
flutter_dspc,FFTStatic.rfft,256,200,4000,6.932500
flutter_dspc,FFTStatic.rfftMag,256,200,4000,5.885250
flutter_dspc,RfftPlan.execute,256,200,4000,2.251750
flutter_dspc,RfftPlan.executeSpec,256,200,4000,2.512000
flutter_dspc,FFTStatic.fft,256,200,4000,15.048000
flutter_dspc,CfftPlan.fft,256,200,4000,5.841750
fftea,fftea.realFft,256,200,4000,18.510000
flutter_dspc,FFTStatic.rfft,288,200,2000,11.901500
flutter_dspc,FFTStatic.rfftMag,288,200,2000,6.446500
flutter_dspc,RfftPlan.execute,288,200,2000,2.357500
flutter_dspc,RfftPlan.executeSpec,288,200,2000,2.853500
flutter_dspc,FFTStatic.fft,288,200,2000,15.314000
flutter_dspc,CfftPlan.fft,288,200,2000,5.652500
fftea,fftea.realFft,288,200,2000,24.329000
flutter_dspc,FFTStatic.rfft,320,200,2000,7.607000
flutter_dspc,FFTStatic.rfftMag,320,200,2000,6.926000
flutter_dspc,RfftPlan.execute,320,200,2000,2.729000
flutter_dspc,RfftPlan.executeSpec,320,200,2000,3.255000
flutter_dspc,FFTStatic.fft,320,200,2000,17.663500
flutter_dspc,CfftPlan.fft,320,200,2000,5.878000
fftea,fftea.realFft,320,200,2000,19.212000
flutter_dspc,FFTStatic.rfft,384,200,2000,9.668500
flutter_dspc,FFTStatic.rfftMag,384,200,2000,7.750500
flutter_dspc,RfftPlan.execute,384,200,2000,3.012500
flutter_dspc,RfftPlan.executeSpec,384,200,2000,3.317000
flutter_dspc,FFTStatic.fft,384,200,2000,18.961500
flutter_dspc,CfftPlan.fft,384,200,2000,7.285000
fftea,fftea.realFft,384,200,2000,36.679500
flutter_dspc,FFTStatic.rfft,480,200,2000,16.541000
flutter_dspc,FFTStatic.rfftMag,480,200,2000,9.379500
flutter_dspc,RfftPlan.execute,480,200,2000,3.630500
flutter_dspc,RfftPlan.executeSpec,480,200,2000,4.079000
flutter_dspc,FFTStatic.fft,480,200,2000,25.211500
flutter_dspc,CfftPlan.fft,480,200,2000,9.345500
fftea,fftea.realFft,480,200,2000,60.010500
flutter_dspc,FFTStatic.rfft,512,200,2000,11.800500
flutter_dspc,FFTStatic.rfftMag,512,200,2000,10.710500
flutter_dspc,RfftPlan.execute,512,200,2000,4.024500
flutter_dspc,RfftPlan.executeSpec,512,200,2000,4.397500
flutter_dspc,FFTStatic.fft,512,200,2000,40.405500
flutter_dspc,CfftPlan.fft,512,200,2000,10.443000
fftea,fftea.realFft,512,200,2000,39.936000
flutter_dspc,FFTStatic.rfft,576,200,2000,18.935500
flutter_dspc,FFTStatic.rfftMag,576,200,2000,13.503000
flutter_dspc,RfftPlan.execute,576,200,2000,4.416500
flutter_dspc,RfftPlan.executeSpec,576,200,2000,5.144500
flutter_dspc,FFTStatic.fft,576,200,2000,33.096000
flutter_dspc,CfftPlan.fft,576,200,2000,10.880500
fftea,fftea.realFft,576,200,2000,53.518500
flutter_dspc,FFTStatic.rfft,640,200,2000,17.035500
flutter_dspc,FFTStatic.rfftMag,640,200,2000,12.915000
flutter_dspc,RfftPlan.execute,640,200,2000,4.942000
flutter_dspc,RfftPlan.executeSpec,640,200,2000,5.756000
flutter_dspc,FFTStatic.fft,640,200,2000,39.364000
flutter_dspc,CfftPlan.fft,640,200,2000,18.604000
fftea,fftea.realFft,640,200,2000,79.193500
flutter_dspc,FFTStatic.rfft,768,200,2000,17.331500
flutter_dspc,FFTStatic.rfftMag,768,200,2000,13.935000
flutter_dspc,RfftPlan.execute,768,200,2000,5.506500
flutter_dspc,RfftPlan.executeSpec,768,200,2000,6.794000
flutter_dspc,FFTStatic.fft,768,200,2000,61.856500
flutter_dspc,CfftPlan.fft,768,200,2000,34.051000
fftea,fftea.realFft,768,200,2000,72.571000
flutter_dspc,FFTStatic.rfft,800,200,2000,26.973500
flutter_dspc,FFTStatic.rfftMag,800,200,2000,15.581000
flutter_dspc,RfftPlan.execute,800,200,2000,6.445000
flutter_dspc,RfftPlan.executeSpec,800,200,2000,6.949000
flutter_dspc,FFTStatic.fft,800,200,2000,47.815500
flutter_dspc,CfftPlan.fft,800,200,2000,14.995000
fftea,fftea.realFft,800,200,2000,83.858500
flutter_dspc,FFTStatic.rfft,864,200,2000,19.221000
flutter_dspc,FFTStatic.rfftMag,864,200,2000,23.415500
flutter_dspc,RfftPlan.execute,864,200,2000,8.672000
flutter_dspc,RfftPlan.executeSpec,864,200,2000,8.007000
flutter_dspc,FFTStatic.fft,864,200,2000,55.106500
flutter_dspc,CfftPlan.fft,864,200,2000,17.180000
fftea,fftea.realFft,864,200,2000,95.735500
flutter_dspc,FFTStatic.rfft,960,200,2000,24.714500
flutter_dspc,FFTStatic.rfftMag,960,200,2000,16.777000
flutter_dspc,RfftPlan.execute,960,200,2000,6.894500
flutter_dspc,RfftPlan.executeSpec,960,200,2000,8.061500
flutter_dspc,FFTStatic.fft,960,200,2000,76.823500
flutter_dspc,CfftPlan.fft,960,200,2000,18.424000
fftea,fftea.realFft,960,200,2000,95.448500
flutter_dspc,FFTStatic.rfft,1024,200,2000,21.462000
flutter_dspc,FFTStatic.rfftMag,1024,200,2000,19.976500
flutter_dspc,RfftPlan.execute,1024,200,2000,7.105000
flutter_dspc,RfftPlan.executeSpec,1024,200,2000,8.098500
flutter_dspc,FFTStatic.fft,1024,200,2000,61.580000
flutter_dspc,CfftPlan.fft,1024,200,2000,20.049500
fftea,fftea.realFft,1024,200,2000,92.555000
flutter_dspc,FFTStatic.rfft,1152,200,1000,31.260000
flutter_dspc,FFTStatic.rfftMag,1152,200,1000,23.125000
flutter_dspc,RfftPlan.execute,1152,200,1000,8.742000
flutter_dspc,RfftPlan.executeSpec,1152,200,1000,9.560000
flutter_dspc,FFTStatic.fft,1152,200,1000,67.979000
flutter_dspc,CfftPlan.fft,1152,200,1000,22.929000
fftea,fftea.realFft,1152,200,1000,136.248000
flutter_dspc,FFTStatic.rfft,1280,200,1000,26.490000
flutter_dspc,FFTStatic.rfftMag,1280,200,1000,28.766000
flutter_dspc,RfftPlan.execute,1280,200,1000,10.824000
flutter_dspc,RfftPlan.executeSpec,1280,200,1000,10.535000
flutter_dspc,FFTStatic.fft,1280,200,1000,79.559000
flutter_dspc,CfftPlan.fft,1280,200,1000,25.826000
fftea,fftea.realFft,1280,200,1000,179.798000
flutter_dspc,FFTStatic.rfft,1440,200,1000,30.739000
flutter_dspc,FFTStatic.rfftMag,1440,200,1000,27.587000
flutter_dspc,RfftPlan.execute,1440,200,1000,11.283000
flutter_dspc,RfftPlan.executeSpec,1440,200,1000,14.238000
flutter_dspc,FFTStatic.fft,1440,200,1000,81.716000
flutter_dspc,CfftPlan.fft,1440,200,1000,38.467000
fftea,fftea.realFft,1440,200,1000,203.532000
flutter_dspc,FFTStatic.rfft,1536,200,1000,32.213000
flutter_dspc,FFTStatic.rfftMag,1536,200,1000,31.180000
flutter_dspc,RfftPlan.execute,1536,200,1000,11.542000
flutter_dspc,RfftPlan.executeSpec,1536,200,1000,15.895000
flutter_dspc,FFTStatic.fft,1536,200,1000,91.512000
flutter_dspc,CfftPlan.fft,1536,200,1000,37.740000
fftea,fftea.realFft,1536,200,1000,170.662000
flutter_dspc,FFTStatic.rfft,1600,200,1000,35.200000
flutter_dspc,FFTStatic.rfftMag,1600,200,1000,38.497000
flutter_dspc,RfftPlan.execute,1600,200,1000,13.372000
flutter_dspc,RfftPlan.executeSpec,1600,200,1000,17.421000
flutter_dspc,FFTStatic.fft,1600,200,1000,127.859000
flutter_dspc,CfftPlan.fft,1600,200,1000,37.287000
fftea,fftea.realFft,1600,200,1000,168.059000
flutter_dspc,FFTStatic.rfft,1728,200,1000,36.570000
flutter_dspc,FFTStatic.rfftMag,1728,200,1000,35.020000
flutter_dspc,RfftPlan.execute,1728,200,1000,13.372000
flutter_dspc,RfftPlan.executeSpec,1728,200,1000,14.147000
flutter_dspc,FFTStatic.fft,1728,200,1000,102.357000
flutter_dspc,CfftPlan.fft,1728,200,1000,37.455000
fftea,fftea.realFft,1728,200,1000,180.498000
flutter_dspc,FFTStatic.rfft,1920,200,1000,45.578000
flutter_dspc,FFTStatic.rfftMag,1920,200,1000,34.062000
flutter_dspc,RfftPlan.execute,1920,200,1000,14.485000
flutter_dspc,RfftPlan.executeSpec,1920,200,1000,19.572000
flutter_dspc,FFTStatic.fft,1920,200,1000,153.908000
flutter_dspc,CfftPlan.fft,1920,200,1000,38.102000
fftea,fftea.realFft,1920,200,1000,231.691000
flutter_dspc,FFTStatic.rfft,2048,200,1000,42.598000
flutter_dspc,FFTStatic.rfftMag,2048,200,1000,37.611000
flutter_dspc,RfftPlan.execute,2048,200,1000,15.230000
flutter_dspc,RfftPlan.executeSpec,2048,200,1000,19.507000
flutter_dspc,FFTStatic.fft,2048,200,1000,127.206000
flutter_dspc,CfftPlan.fft,2048,200,1000,42.413000
