library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,71.400500
flutter_dspc,FFTStatic.rfftMag,32,200,4000,16.062500
flutter_dspc,RfftPlan.execute,32,200,4000,17.367500
flutter_dspc,RfftPlan.executeSpec,32,200,4000,6.076250
flutter_dspc,FFTStatic.fft,32,200,4000,15.752750
flutter_dspc,CfftPlan.fft,32,200,4000,7.524750
fftea,fftea.realFft,32,200,4000,4.229500
flutter_dspc,FFTStatic.rfft,64,200,4000,22.836750
flutter_dspc,FFTStatic.rfftMag,64,200,4000,7.856000
flutter_dspc,RfftPlan.execute,64,200,4000,10.569250
flutter_dspc,RfftPlan.executeSpec,64,200,4000,5.889000
flutter_dspc,FFTStatic.fft,64,200,4000,17.464000
flutter_dspc,CfftPlan.fft,64,200,4000,3.845000
fftea,fftea.realFft,64,200,4000,7.824750
flutter_dspc,FFTStatic.rfft,96,200,4000,4.709000
flutter_dspc,FFTStatic.rfftMag,96,200,4000,3.871250
flutter_dspc,RfftPlan.execute,96,200,4000,1.459250
flutter_dspc,RfftPlan.executeSpec,96,200,4000,1.906750
flutter_dspc,FFTStatic.fft,96,200,4000,7.537750
flutter_dspc,CfftPlan.fft,96,200,4000,2.093750
fftea,fftea.realFft,96,200,4000,15.894750
flutter_dspc,FFTStatic.rfft,128,200,4000,5.950750
flutter_dspc,FFTStatic.rfftMag,128,200,4000,5.346750
flutter_dspc,RfftPlan.execute,128,200,4000,1.616750
flutter_dspc,RfftPlan.executeSpec,128,200,4000,1.936250
flutter_dspc,FFTStatic.fft,128,200,4000,9.275000
flutter_dspc,CfftPlan.fft,128,200,4000,2.756500
fftea,fftea.realFft,128,200,4000,9.486000
flutter_dspc,FFTStatic.rfft,160,200,4000,4.791250
flutter_dspc,FFTStatic.rfftMag,160,200,4000,4.719500
flutter_dspc,RfftPlan.execute,160,200,4000,1.560500
flutter_dspc,RfftPlan.executeSpec,160,200,4000,1.720250
flutter_dspc,FFTStatic.fft,160,200,4000,10.192250
flutter_dspc,CfftPlan.fft,160,200,4000,3.080000
fftea,fftea.realFft,160,200,4000,37.538500
flutter_dspc,FFTStatic.rfft,192,200,4000,6.805500
flutter_dspc,FFTStatic.rfftMag,192,200,4000,7.624250
flutter_dspc,RfftPlan.execute,192,200,4000,1.742750
flutter_dspc,RfftPlan.executeSpec,192,200,4000,5.337250
flutter_dspc,FFTStatic.fft,192,200,4000,12.301750
flutter_dspc,CfftPlan.fft,192,200,4000,3.644500
fftea,fftea.realFft,192,200,4000,15.724000
flutter_dspc,FFTStatic.rfft,256,200,4000,7.044500
flutter_dspc,FFTStatic.rfftMag,256,200,4000,6.944500
flutter_dspc,RfftPlan.execute,256,200,4000,2.223000
flutter_dspc,RfftPlan.executeSpec,256,200,4000,2.412750
flutter_dspc,FFTStatic.fft,256,200,4000,14.311250
flutter_dspc,CfftPlan.fft,256,200,4000,5.528750
fftea,fftea.realFft,256,200,4000,19.298500
flutter_dspc,FFTStatic.rfft,288,200,2000,9.532500
flutter_dspc,FFTStatic.rfftMag,288,200,2000,10.033500
flutter_dspc,RfftPlan.execute,288,200,2000,2.316000
flutter_dspc,RfftPlan.executeSpec,288,200,2000,2.576000
flutter_dspc,FFTStatic.fft,288,200,2000,18.529500
flutter_dspc,CfftPlan.fft,288,200,2000,6.145000
fftea,fftea.realFft,288,200,2000,27.145500
flutter_dspc,FFTStatic.rfft,320,200,2000,10.629000
flutter_dspc,FFTStatic.rfftMag,320,200,2000,7.095000
flutter_dspc,RfftPlan.execute,320,200,2000,2.779000
flutter_dspc,RfftPlan.executeSpec,320,200,2000,3.196000
flutter_dspc,FFTStatic.fft,320,200,2000,16.828500
flutter_dspc,CfftPlan.fft,320,200,2000,7.405500
fftea,fftea.realFft,320,200,2000,51.344500
flutter_dspc,FFTStatic.rfft,384,200,2000,13.484000
flutter_dspc,FFTStatic.rfftMag,384,200,2000,12.775000
flutter_dspc,RfftPlan.execute,384,200,2000,3.640000
flutter_dspc,RfftPlan.executeSpec,384,200,2000,3.424500
flutter_dspc,FFTStatic.fft,384,200,2000,18.835000
flutter_dspc,CfftPlan.fft,384,200,2000,7.386000
fftea,fftea.realFft,384,200,2000,30.595500
flutter_dspc,FFTStatic.rfft,480,200,2000,12.724500
flutter_dspc,FFTStatic.rfftMag,480,200,2000,9.484500
flutter_dspc,RfftPlan.execute,480,200,2000,7.239500
flutter_dspc,RfftPlan.executeSpec,480,200,2000,5.758500
flutter_dspc,FFTStatic.fft,480,200,2000,23.881500
flutter_dspc,CfftPlan.fft,480,200,2000,8.858500
fftea,fftea.realFft,480,200,2000,47.782000
flutter_dspc,FFTStatic.rfft,512,200,2000,12.310000
flutter_dspc,FFTStatic.rfftMag,512,200,2000,10.677500
flutter_dspc,RfftPlan.execute,512,200,2000,3.786000
flutter_dspc,RfftPlan.executeSpec,512,200,2000,4.235500
flutter_dspc,FFTStatic.fft,512,200,2000,38.936000
flutter_dspc,CfftPlan.fft,512,200,2000,12.388500
fftea,fftea.realFft,512,200,2000,39.910000
flutter_dspc,FFTStatic.rfft,576,200,2000,13.013000
flutter_dspc,FFTStatic.rfftMag,576,200,2000,11.036500
flutter_dspc,RfftPlan.execute,576,200,2000,4.235500
flutter_dspc,RfftPlan.executeSpec,576,200,2000,6.336000
flutter_dspc,FFTStatic.fft,576,200,2000,53.513500
flutter_dspc,CfftPlan.fft,576,200,2000,10.818000
fftea,fftea.realFft,576,200,2000,57.811500
flutter_dspc,FFTStatic.rfft,640,200,2000,17.082500
flutter_dspc,FFTStatic.rfftMag,640,200,2000,12.323500
flutter_dspc,RfftPlan.execute,640,200,2000,4.683500
flutter_dspc,RfftPlan.executeSpec,640,200,2000,5.519500
flutter_dspc,FFTStatic.fft,640,200,2000,39.842000
flutter_dspc,CfftPlan.fft,640,200,2000,12.009500
fftea,fftea.realFft,640,200,2000,86.613500
flutter_dspc,FFTStatic.rfft,768,200,2000,18.493500
flutter_dspc,FFTStatic.rfftMag,768,200,2000,16.247500
flutter_dspc,RfftPlan.execute,768,200,2000,5.896500
flutter_dspc,RfftPlan.executeSpec,768,200,2000,7.129000
flutter_dspc,FFTStatic.fft,768,200,2000,43.386500
flutter_dspc,CfftPlan.fft,768,200,2000,19.970500
fftea,fftea.realFft,768,200,2000,89.086000
flutter_dspc,FFTStatic.rfft,800,200,2000,18.720000
flutter_dspc,FFTStatic.rfftMag,800,200,2000,16.405000
flutter_dspc,RfftPlan.execute,800,200,2000,5.947000
flutter_dspc,RfftPlan.executeSpec,800,200,2000,6.665500
flutter_dspc,FFTStatic.fft,800,200,2000,48.213000
flutter_dspc,CfftPlan.fft,800,200,2000,15.127500
fftea,fftea.realFft,800,200,2000,99.644000
flutter_dspc,FFTStatic.rfft,864,200,2000,18.502500
flutter_dspc,FFTStatic.rfftMag,864,200,2000,16.956000
flutter_dspc,RfftPlan.execute,864,200,2000,6.530000
