library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,37.783000
flutter_dspc,FFTStatic.rfftMag,32,200,4000,7.464250
flutter_dspc,RfftPlan.execute,32,200,4000,7.745750
flutter_dspc,RfftPlan.executeSpec,32,200,4000,13.858250
flutter_dspc,FFTStatic.fft,32,200,4000,18.519000
flutter_dspc,CfftPlan.fft,32,200,4000,3.670500
fftea,fftea.realFft,32,200,4000,21.011750
flutter_dspc,FFTStatic.rfft,64,200,4000,25.887250
flutter_dspc,FFTStatic.rfftMag,64,200,4000,10.416750
flutter_dspc,RfftPlan.execute,64,200,4000,9.255000
flutter_dspc,RfftPlan.executeSpec,64,200,4000,6.061250
flutter_dspc,FFTStatic.fft,64,200,4000,10.211750
flutter_dspc,CfftPlan.fft,64,200,4000,4.943000
fftea,fftea.realFft,64,200,4000,17.687000
flutter_dspc,FFTStatic.rfft,96,200,4000,4.206500
flutter_dspc,FFTStatic.rfftMag,96,200,4000,3.730500
flutter_dspc,RfftPlan.execute,96,200,4000,1.150250
flutter_dspc,RfftPlan.executeSpec,96,200,4000,1.304250
flutter_dspc,FFTStatic.fft,96,200,4000,8.397250
flutter_dspc,CfftPlan.fft,96,200,4000,2.903750
fftea,fftea.realFft,96,200,4000,13.577250
flutter_dspc,FFTStatic.rfft,128,200,4000,5.066500
flutter_dspc,FFTStatic.rfftMag,128,200,4000,4.111500
flutter_dspc,RfftPlan.execute,128,200,4000,1.225000
flutter_dspc,RfftPlan.executeSpec,128,200,4000,1.319250
flutter_dspc,FFTStatic.fft,128,200,4000,9.250750
flutter_dspc,CfftPlan.fft,128,200,4000,2.559750
fftea,fftea.realFft,128,200,4000,6.914250
flutter_dspc,FFTStatic.rfft,160,200,4000,5.294250
flutter_dspc,FFTStatic.rfftMag,160,200,4000,4.323000
flutter_dspc,RfftPlan.execute,160,200,4000,1.778250
flutter_dspc,RfftPlan.executeSpec,160,200,4000,1.556750
flutter_dspc,FFTStatic.fft,160,200,4000,9.771250
flutter_dspc,CfftPlan.fft,160,200,4000,3.117000
fftea,fftea.realFft,160,200,4000,15.530250
flutter_dspc,FFTStatic.rfft,192,200,4000,9.595250
flutter_dspc,FFTStatic.rfftMag,192,200,4000,7.300000
flutter_dspc,RfftPlan.execute,192,200,4000,7.944250
flutter_dspc,RfftPlan.executeSpec,192,200,4000,2.263500
flutter_dspc,FFTStatic.fft,192,200,4000,16.169000
flutter_dspc,CfftPlan.fft,192,200,4000,3.693500
fftea,fftea.realFft,192,200,4000,15.615250
flutter_dspc,FFTStatic.rfft,256,200,4000,7.276000
flutter_dspc,FFTStatic.rfftMag,256,200,4000,6.017500
flutter_dspc,RfftPlan.execute,256,200,4000,2.718250
flutter_dspc,RfftPlan.executeSpec,256,200,4000,2.372750
flutter_dspc,FFTStatic.fft,256,200,4000,16.969750
flutter_dspc,CfftPlan.fft,256,200,4000,4.661250
fftea,fftea.realFft,256,200,4000,19.282000
flutter_dspc,FFTStatic.rfft,288,200,2000,10.181000
flutter_dspc,FFTStatic.rfftMag,288,200,2000,7.117500
flutter_dspc,RfftPlan.execute,288,200,2000,2.431000
flutter_dspc,RfftPlan.executeSpec,288,200,2000,4.905000
flutter_dspc,FFTStatic.fft,288,200,2000,19.640500
flutter_dspc,CfftPlan.fft,288,200,2000,5.718000
fftea,fftea.realFft,288,200,2000,27.550000
flutter_dspc,FFTStatic.rfft,320,200,2000,9.058000
flutter_dspc,FFTStatic.rfftMag,320,200,2000,7.768500
flutter_dspc,RfftPlan.execute,320,200,2000,2.580500
flutter_dspc,RfftPlan.executeSpec,320,200,2000,2.988500
flutter_dspc,FFTStatic.fft,320,200,2000,20.463000
flutter_dspc,CfftPlan.fft,320,200,2000,6.347500
fftea,fftea.realFft,320,200,2000,22.054000
flutter_dspc,FFTStatic.rfft,384,200,2000,11.723500
flutter_dspc,FFTStatic.rfftMag,384,200,2000,8.985500
flutter_dspc,RfftPlan.execute,384,200,2000,3.095500
flutter_dspc,RfftPlan.executeSpec,384,200,2000,3.589500
flutter_dspc,FFTStatic.fft,384,200,2000,18.838500
flutter_dspc,CfftPlan.fft,384,200,2000,7.033000
fftea,fftea.realFft,384,200,2000,40.826000
flutter_dspc,FFTStatic.rfft,480,200,2000,14.886500
flutter_dspc,FFTStatic.rfftMag,480,200,2000,9.428500
flutter_dspc,RfftPlan.execute,480,200,2000,5.041000
flutter_dspc,RfftPlan.executeSpec,480,200,2000,7.761500
flutter_dspc,FFTStatic.fft,480,200,2000,27.664000
flutter_dspc,CfftPlan.fft,480,200,2000,9.114500
fftea,fftea.realFft,480,200,2000,68.557500
flutter_dspc,FFTStatic.rfft,512,200,2000,11.729500
flutter_dspc,FFTStatic.rfftMag,512,200,2000,11.928500
flutter_dspc,RfftPlan.execute,512,200,2000,4.074000
flutter_dspc,RfftPlan.executeSpec,512,200,2000,4.323500
flutter_dspc,FFTStatic.fft,512,200,2000,29.972500
flutter_dspc,CfftPlan.fft,512,200,2000,10.588500
fftea,fftea.realFft,512,200,2000,42.798500
flutter_dspc,FFTStatic.rfft,576,200,2000,14.014500
flutter_dspc,FFTStatic.rfftMag,576,200,2000,11.222000
flutter_dspc,RfftPlan.execute,576,200,2000,4.195000
flutter_dspc,RfftPlan.executeSpec,576,200,2000,4.783000
flutter_dspc,FFTStatic.fft,576,200,2000,29.171000
flutter_dspc,CfftPlan.fft,576,200,2000,10.830500
fftea,fftea.realFft,576,200,2000,89.549000
flutter_dspc,FFTStatic.rfft,640,200,2000,15.300500
flutter_dspc,FFTStatic.rfftMag,640,200,2000,14.917500
flutter_dspc,RfftPlan.execute,640,200,2000,4.830500
flutter_dspc,RfftPlan.executeSpec,640,200,2000,6.019500
flutter_dspc,FFTStatic.fft,640,200,2000,37.235500
flutter_dspc,CfftPlan.fft,640,200,2000,11.891500
fftea,fftea.realFft,640,200,2000,85.753500
flutter_dspc,FFTStatic.rfft,768,200,2000,20.235000
flutter_dspc,FFTStatic.rfftMag,768,200,2000,14.235000
flutter_dspc,RfftPlan.execute,768,200,2000,5.567500
flutter_dspc,RfftPlan.executeSpec,768,200,2000,9.863000
flutter_dspc,FFTStatic.fft,768,200,2000,47.205500
flutter_dspc,CfftPlan.fft,768,200,2000,14.287000
fftea,fftea.realFft,768,200,2000,85.547500
flutter_dspc,FFTStatic.rfft,800,200,2000,21.791500
flutter_dspc,FFTStatic.rfftMag,800,200,2000,17.391000
flutter_dspc,RfftPlan.execute,800,200,2000,7.510000
flutter_dspc,RfftPlan.executeSpec,800,200,2000,6.560500
flutter_dspc,FFTStatic.fft,800,200,2000,50.542500
