library,function,nfft,warmup,iterations,microseconds_per_iter
open_dspc,FFTStatic.rfft,32,200,4000,3.882250
open_dspc,FFTStatic.rfftMag,32,200,4000,1.771750
open_dspc,RfftPlan.execute,32,200,4000,1.563250
open_dspc,RfftPlan.executeSpec,32,200,4000,0.775750
open_dspc,FFTStatic.fft,32,200,4000,1.167000
open_dspc,CfftPlan.fft,32,200,4000,0.501250
fftea,fftea.realFft,32,200,4000,1.591250
open_dspc,FFTStatic.rfft,36,200,4000,0.634250
open_dspc,FFTStatic.rfftMag,36,200,4000,0.570500
open_dspc,RfftPlan.execute,36,200,4000,0.230250
open_dspc,RfftPlan.executeSpec,36,200,4000,0.242000
open_dspc,FFTStatic.fft,36,200,4000,0.673000
open_dspc,CfftPlan.fft,36,200,4000,0.278750
fftea,fftea.realFft,36,200,4000,1.007250
open_dspc,FFTStatic.rfft,40,200,4000,0.595000
open_dspc,FFTStatic.rfftMag,40,200,4000,0.537500
open_dspc,RfftPlan.execute,40,200,4000,0.113750
open_dspc,RfftPlan.executeSpec,40,200,4000,0.175750
open_dspc,FFTStatic.fft,40,200,4000,0.579000
open_dspc,CfftPlan.fft,40,200,4000,0.178500
fftea,fftea.realFft,40,200,4000,0.955750
open_dspc,FFTStatic.rfft,45,200,4000,0.495500
open_dspc,FFTStatic.rfftMag,45,200,4000,0.531500
open_dspc,RfftPlan.execute,45,200,4000,0.121000
open_dspc,RfftPlan.executeSpec,45,200,4000,0.171000
open_dspc,FFTStatic.fft,45,200,4000,0.621250
open_dspc,CfftPlan.fft,45,200,4000,0.166500
fftea,fftea.realFft,45,200,4000,0.524750
open_dspc,FFTStatic.rfft,48,200,4000,0.525750
open_dspc,FFTStatic.rfftMag,48,200,4000,0.498250
open_dspc,RfftPlan.execute,48,200,4000,0.151750
open_dspc,RfftPlan.executeSpec,48,200,4000,0.174000
open_dspc,FFTStatic.fft,48,200,4000,0.556250
open_dspc,CfftPlan.fft,48,200,4000,0.146250
fftea,fftea.realFft,48,200,4000,0.437750
open_dspc,FFTStatic.rfft,50,200,4000,0.498500
open_dspc,FFTStatic.rfftMag,50,200,4000,0.510500
