library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,4.183250
flutter_dspc,FFTStatic.rfftMag,32,200,4000,1.702250
flutter_dspc,RfftPlan.execute,32,200,4000,1.630250
flutter_dspc,RfftPlan.executeSpec,32,200,4000,0.561750
flutter_dspc,FFTStatic.fft,32,200,4000,1.420500
flutter_dspc,CfftPlan.fft,32,200,4000,0.542000
fftea,fftea.realFft,32,200,4000,1.232000
flutter_dspc,FFTStatic.rfft,36,200,4000,0.803500
flutter_dspc,FFTStatic.rfftMag,36,200,4000,0.670250
flutter_dspc,RfftPlan.execute,36,200,4000,0.250000
flutter_dspc,RfftPlan.executeSpec,36,200,4000,0.193000
flutter_dspc,FFTStatic.fft,36,200,4000,0.927500
flutter_dspc,CfftPlan.fft,36,200,4000,0.326500
fftea,fftea.realFft,36,200,4000,0.986500
flutter_dspc,FFTStatic.rfft,40,200,4000,0.792750
flutter_dspc,FFTStatic.rfftMag,40,200,4000,0.624250
flutter_dspc,RfftPlan.execute,40,200,4000,0.117000
flutter_dspc,RfftPlan.executeSpec,40,200,4000,0.101750
flutter_dspc,FFTStatic.fft,40,200,4000,0.797250
flutter_dspc,CfftPlan.fft,40,200,4000,0.171000
fftea,fftea.realFft,40,200,4000,0.940500
flutter_dspc,FFTStatic.rfft,48,200,4000,1.372500
flutter_dspc,FFTStatic.rfftMag,48,200,4000,0.967250
flutter_dspc,RfftPlan.execute,48,200,4000,0.710250
flutter_dspc,RfftPlan.executeSpec,48,200,4000,0.272000
flutter_dspc,FFTStatic.fft,48,200,4000,1.145500
flutter_dspc,CfftPlan.fft,48,200,4000,0.405500
fftea,fftea.realFft,48,200,4000,1.619750
flutter_dspc,FFTStatic.rfft,50,200,4000,0.691750
flutter_dspc,FFTStatic.rfftMag,50,200,4000,0.655500
flutter_dspc,RfftPlan.execute,50,200,4000,0.123250
flutter_dspc,RfftPlan.executeSpec,50,200,4000,0.152000
flutter_dspc,FFTStatic.fft,50,200,4000,0.931250
flutter_dspc,CfftPlan.fft,50,200,4000,0.196000
fftea,fftea.realFft,50,200,4000,0.563500
flutter_dspc,FFTStatic.rfft,54,200,4000,0.796750
flutter_dspc,FFTStatic.rfftMag,54,200,4000,0.720250
flutter_dspc,RfftPlan.execute,54,200,4000,0.161000
flutter_dspc,RfftPlan.executeSpec,54,200,4000,0.161500
flutter_dspc,FFTStatic.fft,54,200,4000,1.013750
flutter_dspc,CfftPlan.fft,54,200,4000,0.303000
fftea,fftea.realFft,54,200,4000,0.648750
flutter_dspc,FFTStatic.rfft,60,200,4000,0.834500
flutter_dspc,FFTStatic.rfftMag,60,200,4000,0.740750
flutter_dspc,RfftPlan.execute,60,200,4000,0.143500
flutter_dspc,RfftPlan.executeSpec,60,200,4000,0.147000
flutter_dspc,FFTStatic.fft,60,200,4000,0.990250
flutter_dspc,CfftPlan.fft,60,200,4000,0.245750
fftea,fftea.realFft,60,200,4000,0.614000
flutter_dspc,FFTStatic.rfft,64,200,4000,0.834000
flutter_dspc,FFTStatic.rfftMag,64,200,4000,0.813500
flutter_dspc,RfftPlan.execute,64,200,4000,0.176500
flutter_dspc,RfftPlan.executeSpec,64,200,4000,0.178000
flutter_dspc,FFTStatic.fft,64,200,4000,1.062750
flutter_dspc,CfftPlan.fft,64,200,4000,0.262750
fftea,fftea.realFft,64,200,4000,0.478750
flutter_dspc,FFTStatic.rfft,72,200,4000,0.887750
flutter_dspc,FFTStatic.rfftMag,72,200,4000,0.895750
flutter_dspc,RfftPlan.execute,72,200,4000,0.208500
flutter_dspc,RfftPlan.executeSpec,72,200,4000,0.183500
flutter_dspc,FFTStatic.fft,72,200,4000,1.247000
flutter_dspc,CfftPlan.fft,72,200,4000,0.392500
fftea,fftea.realFft,72,200,4000,0.864000
flutter_dspc,FFTStatic.rfft,80,200,4000,0.924250
flutter_dspc,FFTStatic.rfftMag,80,200,4000,0.825750
flutter_dspc,RfftPlan.execute,80,200,4000,0.183500
flutter_dspc,RfftPlan.executeSpec,80,200,4000,0.165000
flutter_dspc,FFTStatic.fft,80,200,4000,1.208500
flutter_dspc,CfftPlan.fft,80,200,4000,0.279250
fftea,fftea.realFft,80,200,4000,0.827750
flutter_dspc,FFTStatic.rfft,90,200,4000,0.953250
flutter_dspc,FFTStatic.rfftMag,90,200,4000,0.939500
flutter_dspc,RfftPlan.execute,90,200,4000,0.196750
flutter_dspc,RfftPlan.executeSpec,90,200,4000,0.195000
flutter_dspc,FFTStatic.fft,90,200,4000,1.480750
flutter_dspc,CfftPlan.fft,90,200,4000,0.364500
fftea,fftea.realFft,90,200,4000,1.128000
flutter_dspc,FFTStatic.rfft,96,200,4000,1.036000
flutter_dspc,FFTStatic.rfftMag,96,200,4000,0.981500
flutter_dspc,RfftPlan.execute,96,200,4000,0.262250
flutter_dspc,RfftPlan.executeSpec,96,200,4000,0.220500
flutter_dspc,FFTStatic.fft,96,200,4000,1.517500
flutter_dspc,CfftPlan.fft,96,200,4000,0.475500
fftea,fftea.realFft,96,200,4000,1.061750
flutter_dspc,FFTStatic.rfft,100,200,4000,1.061000
flutter_dspc,FFTStatic.rfftMag,100,200,4000,0.973000
flutter_dspc,RfftPlan.execute,100,200,4000,0.206000
