library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,2.681000
flutter_dspc,FFTStatic.rfftMag,32,200,4000,1.347000
flutter_dspc,RfftPlan.execute,32,200,4000,1.438500
flutter_dspc,RfftPlan.executeSpec,32,200,4000,0.603750
flutter_dspc,FFTStatic.fft,32,200,4000,1.020250
flutter_dspc,CfftPlan.fft,32,200,4000,0.580500
fftea,fftea.realFft,32,200,4000,1.495750
flutter_dspc,FFTStatic.rfft,64,200,4000,1.351750
flutter_dspc,FFTStatic.rfftMag,64,200,4000,0.822000
flutter_dspc,RfftPlan.execute,64,200,4000,0.792000
flutter_dspc,RfftPlan.executeSpec,64,200,4000,0.253000
flutter_dspc,FFTStatic.fft,64,200,4000,0.965250
flutter_dspc,CfftPlan.fft,64,200,4000,0.385250
fftea,fftea.realFft,64,200,4000,0.575250
flutter_dspc,FFTStatic.rfft,96,200,4000,0.525500
flutter_dspc,FFTStatic.rfftMag,96,200,4000,0.461750
flutter_dspc,RfftPlan.execute,96,200,4000,0.134250
flutter_dspc,RfftPlan.executeSpec,96,200,4000,0.120250
flutter_dspc,FFTStatic.fft,96,200,4000,0.752500
flutter_dspc,CfftPlan.fft,96,200,4000,0.203750
fftea,fftea.realFft,96,200,4000,1.454000
flutter_dspc,FFTStatic.rfft,128,200,4000,0.563000
flutter_dspc,FFTStatic.rfftMag,128,200,4000,0.508000
flutter_dspc,RfftPlan.execute,128,200,4000,0.173250
flutter_dspc,RfftPlan.executeSpec,128,200,4000,0.145250
flutter_dspc,FFTStatic.fft,128,200,4000,0.761250
flutter_dspc,CfftPlan.fft,128,200,4000,0.267750
fftea,fftea.realFft,128,200,4000,1.112250
flutter_dspc,FFTStatic.rfft,160,200,4000,0.631250
flutter_dspc,FFTStatic.rfftMag,160,200,4000,0.544750
flutter_dspc,RfftPlan.execute,160,200,4000,0.176500
flutter_dspc,RfftPlan.executeSpec,160,200,4000,0.183250
flutter_dspc,FFTStatic.fft,160,200,4000,0.883500
flutter_dspc,CfftPlan.fft,160,200,4000,0.341250
fftea,fftea.realFft,160,200,4000,1.976000
flutter_dspc,FFTStatic.rfft,192,200,4000,0.691250
flutter_dspc,FFTStatic.rfftMag,192,200,4000,0.600750
flutter_dspc,RfftPlan.execute,192,200,4000,0.201750
flutter_dspc,RfftPlan.executeSpec,192,200,4000,0.207750
flutter_dspc,FFTStatic.fft,192,200,4000,1.033750
flutter_dspc,CfftPlan.fft,192,200,4000,0.390250
fftea,fftea.realFft,192,200,4000,2.164250
flutter_dspc,FFTStatic.rfft,256,200,4000,0.729000
flutter_dspc,FFTStatic.rfftMag,256,200,4000,0.662000
flutter_dspc,RfftPlan.execute,256,200,4000,0.257250
flutter_dspc,RfftPlan.executeSpec,256,200,4000,0.241500
flutter_dspc,FFTStatic.fft,256,200,4000,1.232750
flutter_dspc,CfftPlan.fft,256,200,4000,0.486500
fftea,fftea.realFft,256,200,4000,2.322500
flutter_dspc,FFTStatic.rfft,288,200,2000,0.778500
flutter_dspc,FFTStatic.rfftMag,288,200,2000,0.729500
flutter_dspc,RfftPlan.execute,288,200,2000,0.289500
flutter_dspc,RfftPlan.executeSpec,288,200,2000,0.292000
flutter_dspc,FFTStatic.fft,288,200,2000,1.371500
flutter_dspc,CfftPlan.fft,288,200,2000,0.638000
fftea,fftea.realFft,288,200,2000,3.865500
flutter_dspc,FFTStatic.rfft,320,200,2000,0.905500
flutter_dspc,FFTStatic.rfftMag,320,200,2000,0.802000
flutter_dspc,RfftPlan.execute,320,200,2000,0.310500
flutter_dspc,RfftPlan.executeSpec,320,200,2000,0.305500
flutter_dspc,FFTStatic.fft,320,200,2000,1.566500
flutter_dspc,CfftPlan.fft,320,200,2000,0.632000
fftea,fftea.realFft,320,200,2000,3.807500
flutter_dspc,FFTStatic.rfft,384,200,2000,0.945500
flutter_dspc,FFTStatic.rfftMag,384,200,2000,0.847000
flutter_dspc,RfftPlan.execute,384,200,2000,0.364000
flutter_dspc,RfftPlan.executeSpec,384,200,2000,0.413000
flutter_dspc,FFTStatic.fft,384,200,2000,1.693500
flutter_dspc,CfftPlan.fft,384,200,2000,0.737000
fftea,fftea.realFft,384,200,2000,5.032000
flutter_dspc,FFTStatic.rfft,480,200,2000,1.397000
flutter_dspc,FFTStatic.rfftMag,480,200,2000,1.210500
flutter_dspc,RfftPlan.execute,480,200,2000,0.493000
flutter_dspc,RfftPlan.executeSpec,480,200,2000,0.448000
flutter_dspc,FFTStatic.fft,480,200,2000,2.094000
flutter_dspc,CfftPlan.fft,480,200,2000,0.928000
fftea,fftea.realFft,480,200,2000,6.896500
flutter_dspc,FFTStatic.rfft,512,200,2000,1.179000
flutter_dspc,FFTStatic.rfftMag,512,200,2000,1.050000
flutter_dspc,RfftPlan.execute,512,200,2000,0.480000
flutter_dspc,RfftPlan.executeSpec,512,200,2000,0.467500
flutter_dspc,FFTStatic.fft,512,200,2000,2.199000
flutter_dspc,CfftPlan.fft,512,200,2000,1.024000
fftea,fftea.realFft,512,200,2000,5.153500
flutter_dspc,FFTStatic.rfft,576,200,2000,1.268500
flutter_dspc,FFTStatic.rfftMag,576,200,2000,1.206500
flutter_dspc,RfftPlan.execute,576,200,2000,0.559000
flutter_dspc,RfftPlan.executeSpec,576,200,2000,0.552500
flutter_dspc,FFTStatic.fft,576,200,2000,2.478000
flutter_dspc,CfftPlan.fft,576,200,2000,1.152500
fftea,fftea.realFft,576,200,2000,7.973000
flutter_dspc,FFTStatic.rfft,640,200,2000,1.422500
flutter_dspc,FFTStatic.rfftMag,640,200,2000,1.342000
flutter_dspc,RfftPlan.execute,640,200,2000,0.611500
flutter_dspc,RfftPlan.executeSpec,640,200,2000,0.566000
flutter_dspc,FFTStatic.fft,640,200,2000,2.653500
flutter_dspc,CfftPlan.fft,640,200,2000,1.277500
fftea,fftea.realFft,640,200,2000,8.700500
flutter_dspc,FFTStatic.rfft,768,200,2000,1.583000
flutter_dspc,FFTStatic.rfftMag,768,200,2000,1.614000
flutter_dspc,RfftPlan.execute,768,200,2000,0.710500
flutter_dspc,RfftPlan.executeSpec,768,200,2000,0.662000
flutter_dspc,FFTStatic.fft,768,200,2000,3.143500
flutter_dspc,CfftPlan.fft,768,200,2000,1.536000
fftea,fftea.realFft,768,200,2000,10.358000
flutter_dspc,FFTStatic.rfft,800,200,2000,1.672000
flutter_dspc,FFTStatic.rfftMag,800,200,2000,1.629000
flutter_dspc,RfftPlan.execute,800,200,2000,0.794000
flutter_dspc,RfftPlan.executeSpec,800,200,2000,0.748000
flutter_dspc,FFTStatic.fft,800,200,2000,3.456000
flutter_dspc,CfftPlan.fft,800,200,2000,1.618500
fftea,fftea.realFft,800,200,2000,11.813500
flutter_dspc,FFTStatic.rfft,864,200,2000,1.856000
flutter_dspc,FFTStatic.rfftMag,864,200,2000,1.818500
flutter_dspc,RfftPlan.execute,864,200,2000,0.832500
flutter_dspc,RfftPlan.executeSpec,864,200,2000,0.834000
flutter_dspc,FFTStatic.fft,864,200,2000,3.593000
flutter_dspc,CfftPlan.fft,864,200,2000,1.788000
fftea,fftea.realFft,864,200,2000,14.198500
flutter_dspc,FFTStatic.rfft,960,200,2000,1.899000
flutter_dspc,FFTStatic.rfftMag,960,200,2000,1.852500
flutter_dspc,RfftPlan.execute,960,200,2000,0.917000
flutter_dspc,RfftPlan.executeSpec,960,200,2000,0.854000
flutter_dspc,FFTStatic.fft,960,200,2000,3.781500
flutter_dspc,CfftPlan.fft,960,200,2000,1.959500
fftea,fftea.realFft,960,200,2000,13.746500
flutter_dspc,FFTStatic.rfft,1024,200,2000,1.961500
flutter_dspc,FFTStatic.rfftMag,1024,200,2000,1.859000
flutter_dspc,RfftPlan.execute,1024,200,2000,0.930000
flutter_dspc,RfftPlan.executeSpec,1024,200,2000,0.900500
flutter_dspc,FFTStatic.fft,1024,200,2000,4.035000
flutter_dspc,CfftPlan.fft,1024,200,2000,1.806500
fftea,fftea.realFft,1024,200,2000,11.002500
flutter_dspc,FFTStatic.rfft,1152,200,1000,2.547000
flutter_dspc,FFTStatic.rfftMag,1152,200,1000,2.957000
flutter_dspc,RfftPlan.execute,1152,200,1000,1.006000
flutter_dspc,RfftPlan.executeSpec,1152,200,1000,1.045000
flutter_dspc,FFTStatic.fft,1152,200,1000,4.553000
flutter_dspc,CfftPlan.fft,1152,200,1000,2.317000
fftea,fftea.realFft,1152,200,1000,18.260000
flutter_dspc,FFTStatic.rfft,1280,200,1000,2.492000
flutter_dspc,FFTStatic.rfftMag,1280,200,1000,2.306000
flutter_dspc,RfftPlan.execute,1280,200,1000,1.314000
flutter_dspc,RfftPlan.executeSpec,1280,200,1000,1.051000
flutter_dspc,FFTStatic.fft,1280,200,1000,4.755000
flutter_dspc,CfftPlan.fft,1280,200,1000,2.467000
fftea,fftea.realFft,1280,200,1000,17.448000
flutter_dspc,FFTStatic.rfft,1440,200,1000,2.823000
flutter_dspc,FFTStatic.rfftMag,1440,200,1000,2.581000
flutter_dspc,RfftPlan.execute,1440,200,1000,1.364000
flutter_dspc,RfftPlan.executeSpec,1440,200,1000,1.345000
flutter_dspc,FFTStatic.fft,1440,200,1000,5.612000
flutter_dspc,CfftPlan.fft,1440,200,1000,2.979000
fftea,fftea.realFft,1440,200,1000,23.820000
flutter_dspc,FFTStatic.rfft,1536,200,1000,2.929000
flutter_dspc,FFTStatic.rfftMag,1536,200,1000,2.846000
flutter_dspc,RfftPlan.execute,1536,200,1000,1.410000
flutter_dspc,RfftPlan.executeSpec,1536,200,1000,1.382000
flutter_dspc,FFTStatic.fft,1536,200,1000,5.761000
flutter_dspc,CfftPlan.fft,1536,200,1000,2.931000
fftea,fftea.realFft,1536,200,1000,23.664000
flutter_dspc,FFTStatic.rfft,1600,200,1000,2.879000
flutter_dspc,FFTStatic.rfftMag,1600,200,1000,2.794000
flutter_dspc,RfftPlan.execute,1600,200,1000,1.474000
flutter_dspc,RfftPlan.executeSpec,1600,200,1000,1.446000
flutter_dspc,FFTStatic.fft,1600,200,1000,6.134000
flutter_dspc,CfftPlan.fft,1600,200,1000,3.146000
fftea,fftea.realFft,1600,200,1000,23.650000
flutter_dspc,FFTStatic.rfft,1728,200,1000,3.378000
flutter_dspc,FFTStatic.rfftMag,1728,200,1000,3.184000
flutter_dspc,RfftPlan.execute,1728,200,1000,1.664000
flutter_dspc,RfftPlan.executeSpec,1728,200,1000,1.642000
flutter_dspc,FFTStatic.fft,1728,200,1000,6.593000
flutter_dspc,CfftPlan.fft,1728,200,1000,3.493000
fftea,fftea.realFft,1728,200,1000,28.479000
flutter_dspc,FFTStatic.rfft,1920,200,1000,3.786000
flutter_dspc,FFTStatic.rfftMag,1920,200,1000,3.666000
flutter_dspc,RfftPlan.execute,1920,200,1000,1.889000
flutter_dspc,RfftPlan.executeSpec,1920,200,1000,1.845000
flutter_dspc,FFTStatic.fft,1920,200,1000,8.053000
flutter_dspc,CfftPlan.fft,1920,200,1000,4.578000
fftea,fftea.realFft,1920,200,1000,30.996000
flutter_dspc,FFTStatic.rfft,2048,200,1000,3.758000
flutter_dspc,FFTStatic.rfftMag,2048,200,1000,3.481000
flutter_dspc,RfftPlan.execute,2048,200,1000,1.865000
flutter_dspc,RfftPlan.executeSpec,2048,200,1000,1.800000
flutter_dspc,FFTStatic.fft,2048,200,1000,7.890000
flutter_dspc,CfftPlan.fft,2048,200,1000,4.076000
fftea,fftea.realFft,2048,200,1000,23.292000
flutter_dspc,FFTStatic.rfft,2304,200,1000,4.266000
flutter_dspc,FFTStatic.rfftMag,2304,200,1000,4.112000
flutter_dspc,RfftPlan.execute,2304,200,1000,2.201000
flutter_dspc,RfftPlan.executeSpec,2304,200,1000,1.966000
