library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,3.856250
flutter_dspc,FFTStatic.rfftMag,32,200,4000,1.782000
flutter_dspc,RfftPlan.execute,32,200,4000,1.591750
flutter_dspc,RfftPlan.executeSpec,32,200,4000,0.765500
flutter_dspc,FFTStatic.fft,32,200,4000,1.095500
flutter_dspc,CfftPlan.fft,32,200,4000,0.513500
fftea,fftea.realFft,32,200,4000,1.428750
flutter_dspc,FFTStatic.rfft,36,200,4000,0.641250
flutter_dspc,FFTStatic.rfftMag,36,200,4000,0.559250
flutter_dspc,RfftPlan.execute,36,200,4000,0.224000
flutter_dspc,RfftPlan.executeSpec,36,200,4000,0.253500
flutter_dspc,FFTStatic.fft,36,200,4000,0.648500
flutter_dspc,CfftPlan.fft,36,200,4000,0.289750
fftea,fftea.realFft,36,200,4000,1.031000
flutter_dspc,FFTStatic.rfft,40,200,4000,0.663250
flutter_dspc,FFTStatic.rfftMag,40,200,4000,0.494250
flutter_dspc,RfftPlan.execute,40,200,4000,0.118500
flutter_dspc,RfftPlan.executeSpec,40,200,4000,0.184750
flutter_dspc,FFTStatic.fft,40,200,4000,0.571250
flutter_dspc,CfftPlan.fft,40,200,4000,0.172000
fftea,fftea.realFft,40,200,4000,0.999500
flutter_dspc,FFTStatic.rfft,45,200,4000,0.478250
flutter_dspc,FFTStatic.rfftMag,45,200,4000,0.492500
flutter_dspc,RfftPlan.execute,45,200,4000,0.114000
flutter_dspc,RfftPlan.executeSpec,45,200,4000,0.168250
flutter_dspc,FFTStatic.fft,45,200,4000,0.596750
flutter_dspc,CfftPlan.fft,45,200,4000,0.175750
fftea,fftea.realFft,45,200,4000,0.481250
flutter_dspc,FFTStatic.rfft,48,200,4000,0.489750
flutter_dspc,FFTStatic.rfftMag,48,200,4000,0.478000
flutter_dspc,RfftPlan.execute,48,200,4000,0.147000
flutter_dspc,RfftPlan.executeSpec,48,200,4000,0.214000
flutter_dspc,FFTStatic.fft,48,200,4000,0.561000
flutter_dspc,CfftPlan.fft,48,200,4000,0.188500
fftea,fftea.realFft,48,200,4000,0.438250
flutter_dspc,FFTStatic.rfft,50,200,4000,0.495750
flutter_dspc,FFTStatic.rfftMag,50,200,4000,0.496750
flutter_dspc,RfftPlan.execute,50,200,4000,0.117250
flutter_dspc,RfftPlan.executeSpec,50,200,4000,0.174750
flutter_dspc,FFTStatic.fft,50,200,4000,0.592000
flutter_dspc,CfftPlan.fft,50,200,4000,0.173750
fftea,fftea.realFft,50,200,4000,0.549750
flutter_dspc,FFTStatic.rfft,54,200,4000,0.561250
flutter_dspc,FFTStatic.rfftMag,54,200,4000,0.508500
flutter_dspc,RfftPlan.execute,54,200,4000,0.123750
flutter_dspc,RfftPlan.executeSpec,54,200,4000,0.176000
flutter_dspc,FFTStatic.fft,54,200,4000,0.599750
flutter_dspc,CfftPlan.fft,54,200,4000,0.178500
fftea,fftea.realFft,54,200,4000,0.637500
flutter_dspc,FFTStatic.rfft,60,200,4000,0.501250
flutter_dspc,FFTStatic.rfftMag,60,200,4000,0.537000
flutter_dspc,RfftPlan.execute,60,200,4000,0.164500
flutter_dspc,RfftPlan.executeSpec,60,200,4000,0.195500
flutter_dspc,FFTStatic.fft,60,200,4000,0.625500
flutter_dspc,CfftPlan.fft,60,200,4000,0.212250
