library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,2.759000
flutter_dspc,FFTStatic.rfftMag,32,200,4000,1.718000
flutter_dspc,RfftPlan.execute,32,200,4000,1.309500
flutter_dspc,RfftPlan.executeSpec,32,200,4000,0.925250
flutter_dspc,FFTStatic.fft,32,200,4000,1.643500
flutter_dspc,CfftPlan.fft,32,200,4000,0.498500
fftea,fftea.realFft,32,200,4000,3.300250
flutter_dspc,FFTStatic.rfft,36,200,4000,1.148250
flutter_dspc,FFTStatic.rfftMag,36,200,4000,0.961750
flutter_dspc,RfftPlan.execute,36,200,4000,0.231500
flutter_dspc,RfftPlan.executeSpec,36,200,4000,0.201750
flutter_dspc,FFTStatic.fft,36,200,4000,1.758250
flutter_dspc,CfftPlan.fft,36,200,4000,0.345500
fftea,fftea.realFft,36,200,4000,1.831000
flutter_dspc,FFTStatic.rfft,40,200,4000,1.273750
flutter_dspc,FFTStatic.rfftMag,40,200,4000,1.082750
flutter_dspc,RfftPlan.execute,40,200,4000,0.155500
flutter_dspc,RfftPlan.executeSpec,40,200,4000,0.157000
flutter_dspc,FFTStatic.fft,40,200,4000,1.545750
flutter_dspc,CfftPlan.fft,40,200,4000,0.283250
fftea,fftea.realFft,40,200,4000,1.438250
flutter_dspc,FFTStatic.rfft,48,200,4000,2.763750
flutter_dspc,FFTStatic.rfftMag,48,200,4000,1.745500
flutter_dspc,RfftPlan.execute,48,200,4000,0.757250
flutter_dspc,RfftPlan.executeSpec,48,200,4000,0.659500
flutter_dspc,FFTStatic.fft,48,200,4000,2.046000
flutter_dspc,CfftPlan.fft,48,200,4000,0.564250
fftea,fftea.realFft,48,200,4000,3.283250
flutter_dspc,FFTStatic.rfft,50,200,4000,1.435000
flutter_dspc,FFTStatic.rfftMag,50,200,4000,1.159500
flutter_dspc,RfftPlan.execute,50,200,4000,0.195750
flutter_dspc,RfftPlan.executeSpec,50,200,4000,0.221000
flutter_dspc,FFTStatic.fft,50,200,4000,1.809500
flutter_dspc,CfftPlan.fft,50,200,4000,0.341750
