library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,2.767000
flutter_dspc,FFTStatic.rfftMag,32,200,4000,1.485500
flutter_dspc,RfftPlan.execute,32,200,4000,1.379000
flutter_dspc,RfftPlan.executeSpec,32,200,4000,1.304750
flutter_dspc,FFTStatic.fft,32,200,4000,1.394250
flutter_dspc,CfftPlan.fft,32,200,4000,0.415500
fftea,fftea.realFft,32,200,4000,4.270250
flutter_dspc,FFTStatic.rfft,64,200,4000,2.166500
flutter_dspc,FFTStatic.rfftMag,64,200,4000,1.183500
flutter_dspc,RfftPlan.execute,64,200,4000,0.810250
flutter_dspc,RfftPlan.executeSpec,64,200,4000,0.783000
flutter_dspc,FFTStatic.fft,64,200,4000,1.963500
flutter_dspc,CfftPlan.fft,64,200,4000,0.460250
fftea,fftea.realFft,64,200,4000,2.221000
flutter_dspc,FFTStatic.rfft,96,200,4000,1.011250
flutter_dspc,FFTStatic.rfftMag,96,200,4000,0.857750
flutter_dspc,RfftPlan.execute,96,200,4000,0.179500
flutter_dspc,RfftPlan.executeSpec,96,200,4000,0.215750
flutter_dspc,FFTStatic.fft,96,200,4000,1.772000
flutter_dspc,CfftPlan.fft,96,200,4000,0.345250
fftea,fftea.realFft,96,200,4000,1.834500
flutter_dspc,FFTStatic.rfft,128,200,4000,1.564000
flutter_dspc,FFTStatic.rfftMag,128,200,4000,1.168500
flutter_dspc,RfftPlan.execute,128,200,4000,0.220500
flutter_dspc,RfftPlan.executeSpec,128,200,4000,0.232500
flutter_dspc,FFTStatic.fft,128,200,4000,2.180250
flutter_dspc,CfftPlan.fft,128,200,4000,0.433000
fftea,fftea.realFft,128,200,4000,1.019250
flutter_dspc,FFTStatic.rfft,160,200,4000,1.323750
flutter_dspc,FFTStatic.rfftMag,160,200,4000,1.170500
flutter_dspc,RfftPlan.execute,160,200,4000,0.275250
flutter_dspc,RfftPlan.executeSpec,160,200,4000,0.269500
flutter_dspc,FFTStatic.fft,160,200,4000,2.667750
flutter_dspc,CfftPlan.fft,160,200,4000,0.524750
fftea,fftea.realFft,160,200,4000,2.095000
flutter_dspc,FFTStatic.rfft,192,200,4000,1.532250
flutter_dspc,FFTStatic.rfftMag,192,200,4000,1.553750
flutter_dspc,RfftPlan.execute,192,200,4000,0.349750
flutter_dspc,RfftPlan.executeSpec,192,200,4000,0.319250
flutter_dspc,FFTStatic.fft,192,200,4000,2.973500
flutter_dspc,CfftPlan.fft,192,200,4000,0.598000
fftea,fftea.realFft,192,200,4000,1.721500
flutter_dspc,FFTStatic.rfft,256,200,4000,1.819500
flutter_dspc,FFTStatic.rfftMag,256,200,4000,1.707000
flutter_dspc,RfftPlan.execute,256,200,4000,0.337750
flutter_dspc,RfftPlan.executeSpec,256,200,4000,0.394750
flutter_dspc,FFTStatic.fft,256,200,4000,3.827000
flutter_dspc,CfftPlan.fft,256,200,4000,0.770000
fftea,fftea.realFft,256,200,4000,2.184500
flutter_dspc,FFTStatic.rfft,288,200,2000,2.186500
flutter_dspc,FFTStatic.rfftMag,288,200,2000,1.892000
