library,function,nfft,warmup,iterations,microseconds_per_iter
flutter_dspc,FFTStatic.rfft,32,200,4000,2.895500
flutter_dspc,FFTStatic.rfftMag,32,200,4000,1.666250
flutter_dspc,RfftPlan.execute,32,200,4000,1.554500
flutter_dspc,RfftPlan.executeSpec,32,200,4000,1.142500
flutter_dspc,FFTStatic.fft,32,200,4000,1.422250
flutter_dspc,CfftPlan.fft,32,200,4000,0.569500
fftea,fftea.realFft,32,200,4000,4.179000
flutter_dspc,FFTStatic.rfft,36,200,4000,1.210000
flutter_dspc,FFTStatic.rfftMag,36,200,4000,1.108750
flutter_dspc,RfftPlan.execute,36,200,4000,0.248750
flutter_dspc,RfftPlan.executeSpec,36,200,4000,0.260500
flutter_dspc,FFTStatic.fft,36,200,4000,1.221500
flutter_dspc,CfftPlan.fft,36,200,4000,0.341000
fftea,fftea.realFft,36,200,4000,1.868000
flutter_dspc,FFTStatic.rfft,40,200,4000,1.134250
flutter_dspc,FFTStatic.rfftMag,40,200,4000,0.886750
flutter_dspc,RfftPlan.execute,40,200,4000,0.169750
flutter_dspc,RfftPlan.executeSpec,40,200,4000,0.216250
flutter_dspc,FFTStatic.fft,40,200,4000,1.191250
flutter_dspc,CfftPlan.fft,40,200,4000,0.278000
fftea,fftea.realFft,40,200,4000,1.669750
flutter_dspc,FFTStatic.rfft,45,200,4000,1.252750
flutter_dspc,FFTStatic.rfftMag,45,200,4000,1.339250
flutter_dspc,RfftPlan.execute,45,200,4000,0.192250
flutter_dspc,RfftPlan.executeSpec,45,200,4000,0.237500
flutter_dspc,FFTStatic.fft,45,200,4000,1.430750
flutter_dspc,CfftPlan.fft,45,200,4000,0.279500
fftea,fftea.realFft,45,200,4000,0.340000
flutter_dspc,FFTStatic.rfft,48,200,4000,0.976250
flutter_dspc,FFTStatic.rfftMag,48,200,4000,1.114000
flutter_dspc,RfftPlan.execute,48,200,4000,0.198500
flutter_dspc,RfftPlan.executeSpec,48,200,4000,0.230250
flutter_dspc,FFTStatic.fft,48,200,4000,1.282250
flutter_dspc,CfftPlan.fft,48,200,4000,0.311000
fftea,fftea.realFft,48,200,4000,0.340500
flutter_dspc,FFTStatic.rfft,50,200,4000,1.123250
flutter_dspc,FFTStatic.rfftMag,50,200,4000,1.223000
flutter_dspc,RfftPlan.execute,50,200,4000,0.199500
flutter_dspc,RfftPlan.executeSpec,50,200,4000,0.244750
flutter_dspc,FFTStatic.fft,50,200,4000,1.416000
flutter_dspc,CfftPlan.fft,50,200,4000,0.312750
fftea,fftea.realFft,50,200,4000,0.392250
flutter_dspc,FFTStatic.rfft,54,200,4000,1.182250
flutter_dspc,FFTStatic.rfftMag,54,200,4000,1.080000
flutter_dspc,RfftPlan.execute,54,200,4000,0.212500
flutter_dspc,RfftPlan.executeSpec,54,200,4000,0.268750
flutter_dspc,FFTStatic.fft,54,200,4000,1.546750
flutter_dspc,CfftPlan.fft,54,200,4000,0.339750
fftea,fftea.realFft,54,200,4000,0.542500
flutter_dspc,FFTStatic.rfft,60,200,4000,1.098500
flutter_dspc,FFTStatic.rfftMag,60,200,4000,1.004000
flutter_dspc,RfftPlan.execute,60,200,4000,0.240000
flutter_dspc,RfftPlan.executeSpec,60,200,4000,0.268500
flutter_dspc,FFTStatic.fft,60,200,4000,1.443750
flutter_dspc,CfftPlan.fft,60,200,4000,0.341750
fftea,fftea.realFft,60,200,4000,0.429000
flutter_dspc,FFTStatic.rfft,64,200,4000,1.089250
flutter_dspc,FFTStatic.rfftMag,64,200,4000,1.009250
flutter_dspc,RfftPlan.execute,64,200,4000,0.222500
flutter_dspc,RfftPlan.executeSpec,64,200,4000,0.271000
flutter_dspc,FFTStatic.fft,64,200,4000,1.450250
flutter_dspc,CfftPlan.fft,64,200,4000,0.396250
fftea,fftea.realFft,64,200,4000,0.541500
flutter_dspc,FFTStatic.rfft,72,200,4000,1.353500
flutter_dspc,FFTStatic.rfftMag,72,200,4000,1.276250
flutter_dspc,RfftPlan.execute,72,200,4000,0.252250
flutter_dspc,RfftPlan.executeSpec,72,200,4000,0.455000
flutter_dspc,FFTStatic.fft,72,200,4000,1.623750
flutter_dspc,CfftPlan.fft,72,200,4000,0.447250
fftea,fftea.realFft,72,200,4000,0.711250
flutter_dspc,FFTStatic.rfft,75,200,4000,1.737250
flutter_dspc,FFTStatic.rfftMag,75,200,4000,1.595750
flutter_dspc,RfftPlan.execute,75,200,4000,0.254250
flutter_dspc,RfftPlan.executeSpec,75,200,4000,0.464000
flutter_dspc,FFTStatic.fft,75,200,4000,1.999000
flutter_dspc,CfftPlan.fft,75,200,4000,0.459250
fftea,fftea.realFft,75,200,4000,0.541500
flutter_dspc,FFTStatic.rfft,80,200,4000,1.280500
flutter_dspc,FFTStatic.rfftMag,80,200,4000,1.128500
flutter_dspc,RfftPlan.execute,80,200,4000,0.271000
flutter_dspc,RfftPlan.executeSpec,80,200,4000,0.314750
flutter_dspc,FFTStatic.fft,80,200,4000,1.743250
flutter_dspc,CfftPlan.fft,80,200,4000,0.456250
fftea,fftea.realFft,80,200,4000,0.539500
flutter_dspc,FFTStatic.rfft,81,200,4000,1.549000
flutter_dspc,FFTStatic.rfftMag,81,200,4000,1.477250
flutter_dspc,RfftPlan.execute,81,200,4000,0.285000
flutter_dspc,RfftPlan.executeSpec,81,200,4000,0.347500
flutter_dspc,FFTStatic.fft,81,200,4000,2.026250
flutter_dspc,CfftPlan.fft,81,200,4000,0.492000
